load-req,load-ach,CPU,cycles,RTT mean,,,,,,,,,,,,,,,,
10,10,0.026,,1548,,,,,,,,,,,,,,,,
20,20,0.054,,1384,,,,,,,,,,,,,,,,
50,50.001,0.115,,1176,,,,,,,,,,,,,,,,
100,100,0.216,,1132,,,,,,,,,,,,,,,,
200,200.001,0.397,,1099,,,,,,,,,,,,,,,,
300,300.012,0.615,,1082,,,,,,,,,,,,,,,,
400,400.018,0.657,,1113,,,,,,,,,,,,,,,,
500,499.973,0.694,,1053,,,,,,,,,,,,,,,,
600,600.003,0.926,,1181,,,,,,,,,,,,,,,,
700,624.794,0.997,,1811,,,,,,,,,,,,,,,,
800,599.999,0.995,,1972,,,,,,,,,,,,,,,,
900,575.488,0.997,,2081,,,,,,,,,,,,,,,,
957,568.347,0.995,,2583,,,,,,,,,,,,,,,,
#,Source: https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8/edit#gid=405063861,,,,,,,,,,,,,,,,,,,
#,Measured by Junming using ipbenc Linux single core 2023-03-19,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
# 10,10,0.027,,1413,,,,,,,,,,,,,,,,
#20,20,0.053,,1479,,,,,,,,,,,,,,,,
#50,50,0.12,,1152,,,,,,,,,,,,,,,,
#100,100,0.224,,1206,,,,,,,,,,,,,,,,
#200,200,0.445,,1118,,,,,,,,,,,,,,,,
#300,299.99,0.652,,1130,,,,,,,,,,,,,,,,
#400,399.99,0.719,,1154,,,,,,,,,,,,,,,,
#500,500.04,0.788,,1148,,,,,,,,,,,,,,,,
#600,600.06,0.932,,1186,,,,,,,,,,,,,,,,
#700,622.86,0.998,,1821,,,,,,,,,,,,,,,,
#800,599.16,0.992,,1977,,,,,,,,,,,,,,,,
#900,575.17,0.995,,2083,,,,,,,,,,,,,,,,
#957,550.59,0.993,,2583,,,,,,,,,,,,,,,,
##,Source: https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8/edit#gid=405063861,,,,,,,,,,,,,,,,,,,
##,Measured by Junming using ipbenc Linux single core 2023-02-15,,,,,,,,,,,,,,,,,,,
##,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
#97.48344,97.489788,0.482,,1425,,,,,,,,,,,,,,,,
#194.96688,194.967588,0.688,,1154,,,,,,,,,,,,,,,,
#292.45033,292.45366,0.764,,1124,,,,,,,,,,,,,,,,
#389.93377,389.937202,0.863,,1090,,,,,,,,,,,,,,,,
#487.41721,487.413778,0.92,,1174,,,,,,,,,,,,,,,,
#584.90066,584.902663,0.954,,1166,,,,,,,,,,,,,,,,
#682.3841,655.780479,0.961,,9349,,,,,,,,,,,,,,,,
#779.86754,652.814284,0.965,,9842,,,,,,,,,,,,,,,,
#877.35099,652.04193,0.961,,9911,,,,,,,,,,,,,,,,
##,Source: https://github.com/lucypa/thesis/blob/main/imgs/benchmarks/6.1.1-linux.ipbench,,,,,,,,,,,,,,,,,,,
##,Measured by Lucy using ipbench 2023-03-24,,,,,,,,,,,,,,,,,,,
##,Linux 6.1.1,,,,,,,,,,,,,,,,,,,
