load-req,load-ach,CPU,cycles/pkt,RTT mean,,,,
10,9.96,0.02,26503.72,619
20,20.00,0.05,27060.24,519
50,49.23,0.10,24099.39,496
100,100.00,0.19,22014.90,449
200,200.00,0.29,17102.70,465
300,300.00,0.40,15718.72,465
400,400.00,0.46,13735.40,552
500,500.00,0.53,12559.49,596
600,600.01,0.58,11384.77,785
700,700.05,0.64,10822.11,975
800,800.01,0.69,10245.39,1001
900,900.00,0.74,9711.38,1018
957,957.00,0.77,9568.71,1549
#,Source:,,,,,,,
https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8/edit#gid=544160611,,,,,,,,
#,Measured by Courtney using ipbench 2024-03-20,,,,,,,
#,5-PD sDDF system: Driver plus client with lwip,,,,,,,
#,Commit,95492dcc32abf8f8b4fc34297ba5c26fb181d891
#10,10,0.0151,,636,,,,
#20,20,0.0293,,638,,,,
#50,50,0.0754,,627,,,,
#100,100,0.1392,,540,,,,
#200,200,0.2387,,573,,,,
#300,299.99,0.3333,,597,,,,
#400,400.01,0.4139,,671,,,,
#500,500,0.495,,804,,,,
#600,600.01,0.5668,,1035,,,,
#700,700.04,0.6372,,1029,,,,
#800,799.98,0.7115,,1034,,,,
#900,899.95,0.7848,,1053,,,,
#1000,957,0.8324,,1563,,,,
##,Source:,,,,,,,
#https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8/edit#gid=544160611,,,,,,,,
##,Measured by Junming using ipbench 2024-02-01,,,,,,,
##,5-PD sDDF system: Driver plus client with lwip,,,,,,,
