load-req,load-ach,CPU,cycles/p,RTT mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.98,0.04,48654.33,741
20,19.97,0.09,50054.60,576
50,50.00,0.19,44460.28,541
100,100.00,0.29,33095.46,493
200,200.00,0.44,25895.06,491
300,300.00,0.52,20593.02,547
400,400.00,0.58,17026.70,657
500,500.00,0.63,14934.43,903
600,600.02,0.70,13770.84,937
700,700.00,0.75,12801.29,947
800,800.01,0.82,12164.29,961
900,899.95,0.88,11622.91,977
1000,957.05,0.91,11308.48,1521
#,Source https://docs.google.com/spreadsheets/d/1d1hKhZVVbEvxm7ehs7sXc1KvGjfdJ0RHR4YiMPzR8O8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Measured by Courtney 24-03-21: Core0: Eth+MuxRx+2*Copy+2*Client; Core1: MuxTx+Arp+Timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SMP kernel dual-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Commit,cc42b630f3d226ebd538bc40f3a078dadee3d4a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#100,100,34,,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#200,199.97,50,,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#300,300.17,63,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#400,400.04,66,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#500,500.78,73,,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#600,600.48,79,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#700,700.79,85,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#800,800.1,90,,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#900,900.05,97,,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#1000,957.51,99.9,,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,Source https://github.com/lucypa/thesis/blob/main/imgs/benchmarks/SMP_two_cores.ipbench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
##,Measured by Lucy using ipbench 2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,SMP kernel dual-core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
