L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions,KernelUtilisation,KernelEntries,KernelEntriesFastpath,NumberSchedules,TotalUtilisation
5310822,27250107,6362318,25706020,2989842685,5638492,4233752426,4637048,13994,4373198,613823577297
5516920,29146822,6532102,26993623,3855659999,5781194,4344423765,4712154,7569,4425658,331676554892
6429256,35282641,7764099,32505614,3053837314,6602754,5134364420,5525642,3706,5197467,162067855102
7311822,41306995,8572417,36648659,6225513582,9705102,5792296675,6293929,2412,5791135,105363244482
6154152,38862153,7630966,34927507,2441334687,10080262,7321493398,8080686,1781,7486097,77333145413
3217266,29223730,4663568,24221470,3661037995,5994333,6906449292,7567292,1553,7173603,67881827557
2889884,33172748,4083983,22920919,4528833394,6286317,5963792948,6516754,1442,6147444,63075567532
2662279,37196075,3651814,21930697,2506984410,6657190,5219418044,5692446,1374,5334881,60189416708
2493412,41616794,3307106,21513320,5333988005,7023529,4646210251,5045650,1338,4704513,58267563452
2343567,46667783,3005427,21249038,4489086472,7518184,4117484385,4454531,1307,4110937,57140995922
2198507,50565283,2755262,21282139,3543375101,7794757,3686700056,3970934,1287,3631092,56131113708
2163917,52666905,2667749,21824499,7471250388,7940186,3519501275,3791114,1281,3446712,56284327796
2134778,52129703,2584537,20982914,7371591543,8095752,3362678154,3619660,1276,3275674,55994157152
