L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions,KernelUtilisation,KernelEntries,NumberSchedules,TotalUtilisation
8274127,25219914,6305538,25998609,7584840828,6235189,6691565856,4466272,4209654,613849598306
8605076,26740815,6431317,27390528,3753809105,6485867,6815265290,4507487,4234067,331244319417
9774623,32173475,7602444,32925558,7054042616,7263671,7975039801,5247597,4940151,162074068474
10264223,36029530,7840110,34707251,6027020163,9557929,8459673213,5707319,5184353,105327959919
7367994,33921166,5888704,28932611,4193948743,9362762,8445832283,6073802,5404878,77337443764
3715505,29282314,3569400,19909708,2460274104,5476148,7285123385,5278205,4950623,67834450953
3412053,33225090,3143409,18830857,3554975796,5901115,6264508428,4519484,4210754,63073550895
3196001,37090696,2853272,18344102,5854304619,6272851,5551863516,3990605,3692347,60202206386
3065209,41604895,2620747,18275343,4404370638,6752322,4955968308,3545782,3253591,58213813554
2922309,46671945,2409102,18312955,3583268442,7299944,4440000118,3159728,2869982,57135529013
2821098,50233753,2227917,18841729,6917594213,7681744,4008885907,2832911,2547049,56135200848
2781813,53643610,2101948,19761196,6309355789,7971221,3671091263,2576852,2288122,55854155980
2776973,52055346,2113099,19938184,6495263362,7997236,3667209354,2578479,2289145,55947522308
