L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions,KernelUtilisation,KernelEntries,KernelEntriesFastpath,NumberSchedules,TotalUtilisation
7067794,24951751,6294975,25823954,7415372234,5573690,6719241397,4449025,14049,4174187,613854134396
7648562,26794644,6574295,27634758,3563864515,5550039,6969496356,4525107,7610,4271149,331261313177
8414981,32264088,7780368,33235505,6754001655,6621061,8173295251,5298805,3721,4993544,162075978193
8676326,35598428,7838920,34403071,5882416933,9399717,8484700943,5679388,2449,5121558,105360467097
5904574,34049360,5959703,29060392,8267350346,9865022,8520102309,6086293,1815,5381403,77331030405
2677697,29013565,3528791,19789766,2510991185,5903042,7190314725,5188518,1563,4860895,67880786423
2568848,32961950,3115448,19135161,3528878769,6311193,6202077677,4457764,1455,4148454,63071960820
2454258,37432929,2818333,18756522,5846838069,6666349,5468524318,3915123,1422,3615756,60192343663
2429918,41594531,2590765,18782540,4428877524,7106730,4903471541,3492236,1369,3199182,58265410790
2365446,46521524,2385205,18655831,3635533586,7708251,4388959296,3104571,1350,2814298,57144414789
2342599,49876086,2203083,18576804,6958945797,8085580,3959652459,2779005,1307,2492449,56135708062
2350361,53514583,2087060,19512719,6252728701,8274476,3623347945,2526396,1334,2237173,55846439779
2351431,51845132,2096172,18995896,6470249395,8317591,3626900985,2534895,1318,2245218,55977556896
